transp_Bizr_Id,vehc_Id,vehc_Lcns_No,actual_vehc_Lcns_No,depot_Id,Seat,Stand,Deck,body_Bus_No,top_Up_Thold,alert_Thold,max_Quota_Etm,use_Yn
110100001,11269,WVC6468,WVC6468,BCV,30,34,Single,SCA,2000,100,3500,Y
110100001,11275,WVC6471,WVC6471,BCV,30,34,Single,S276,2000,100,3500,Y
110100001,11277,WVB5889,WVB5889,BCV,30,34,Single,L259,2000,100,3500,Y
110100001,11278,WVC3917,WVC3917,BCV,30,34,Single,L284,2000,100,3500,Y
110100001,11279,WVB5772,WVB5772,BCV,30,34,Single,L260,2000,100,3500,Y
110100001,11280,WVC4047,WVC4047,BCV,30,34,Single,L278,2000,100,3500,Y
110100001,11281,WVB5687,WVB5687,BCV,30,34,Single,L268,2000,100,3500,Y
110100001,11282,WVD4971,WVD4971,BCV,30,34,Single,L285,2000,100,3500,Y
110100001,11283,WVB5646,WVB5646,BCV,30,34,Single,L269,2000,100,3500,Y
110100001,11284,WVD4758,WVD4758,BCV,30,34,Single,L274,2000,100,3500,Y
110100001,11285,WVD4945,WVD4945,BCV,30,34,Single,L286,2000,100,3500,Y
110100001,11286,WVC4189,WVC4189,BCV,30,34,Single,L251,2000,100,3500,Y
110100001,11287,WVB5670,WVB5670,BCV,30,34,Single,L254,2000,100,3500,Y
110100001,11293,WVC3485,WVC3485,BCV,30,34,Single,M,2000,100,3500,Y
110100001,11294,WVC3448,WVC3448,BCV,30,34,Single,M,2000,100,3500,Y
110100001,11298,WVC6439,WVC6439,BCV,30,34,Single,SCA,2000,100,3500,Y
110100001,11299,WVC6453,WVC6453,BCV,30,34,Single,S271,2000,100,3500,Y
110100001,11307,WVD4189,WVD4189,BCV,30,34,Single,SC,2000,100,3500,Y
110100001,11310,WVD1492,WVD1492,BCV,30,34,Single,SCA,2000,100,3500,Y
110100001,11314,WVC3505,WVC3505,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11315,WVE5102,WVE5102,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11316,WVE4812,WVE4812,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11317,WVE4816,WVE4816,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11318,WVE5056,WVE5056,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11319,XBK1004,WB1004K,BCV,29,30,Single,E211,2000,100,3500,Y
110100001,11322,WVE4734,WVE4734,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11323,WVE5068,WVE5068,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11325,WVE4879,WVE4879,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11328,WVE4752,WVE4752,BCV,30,34,Single,M,2000,100,3500,Y
110100001,11329,WVE5041,WVE5041,BCV,30,34,Single,E211,2000,100,3500,Y
110100001,11331,WVE5025,WVE5025,BCV,30,34,Single,M,2000,100,3500,Y
110100001,11332,WVE4823,WVE4823,BCV,30,34,Single,M,2000,100,3500,Y
110100001,11334,WVE5061,WVE5061,BCV,30,34,Single,M,2000,100,3500,Y
110100001,11336,WVG2342,WVG2342,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11340,WVG2380,WVG2380,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11341,WVG2290,WVG2290,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11342,WVG2361,WVG2361,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11343,WVG2269,WVG2269,BCV,30,34,Single,MA4,2000,100,3500,Y
